docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1761_EMONTAGU_EC_3	Letter from Elizabeth Montagu to Elizabeth Carter	1761	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	1037
BC_1776_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1776	1770	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	478
BC_1757_EMONTAGU_BS	Letter from Elizabeth Montagu to Benjamin Stillingfleet	1757	1750	Benjamin Stillingfleet, Esq.	#BS	Benjamin Stillingfleet	male	friends	1095
BC_1740_EMONTAGU_ER_4	Letter from Elizabeth Robinson to Elizabeth (Drake) Robinson	1740	1730	Elizabeth Robinson née Drake	#ER	Elizabeth Robinson née Drake	female	nuclear family	547
BC_1760_EMONTAGU_MR	Letter from Elizabeth Montagu to Matthew Robinson	1760	1750	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	858
BC_1769_EMONTAGU_EV_4	Letter from Elizabeth Montagu to Elizabeth Vesey	1769	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1276
BC_1768_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1768	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1348
BC_1739_EMONTAGU_MB	Letter from Elizabeth Robinson to the Duchess of Portland	1739	1730	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	1359
BC_1761_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1761	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	477
BC_1768_EMONTAGU_MA	Letter from Elizabeth Montagu to Mary Robinson	1768	1760	Mary Robinson	#MA	Mary Robinson	female	nuclear family	1870
BC_1778_EMONTAGU_EC_3	Letter from Elizabeth Montagu to Elizabeth Carter	1778	1770	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	1133
BC_1778_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1778	1770	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	361
BC_1776_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1776	1770	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	1719
BC_1759_EMONTAGU_ED	Letter from Elizabeth Montagu to Edward Montagu	1759	1750	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	331
BC_1768_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1768	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1297
BC_1764_EMONTAGU_GL	Letter from Elizabeth Montagu to George Lyttelton, 1St Baron Lyttelton	1764	1760	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	640
BC_1769_EMONTAGU_FB	Letter from Elizabeth Montagu to Frances Boscawen	1769	1760	Frances Boscawen née Glanville	#FB	Frances Boscawen née Glanville	female	friends	680
BC_1744_EMONTAGU_AD	Letter from Elizabeth Montagu to Anne Donnellan	1744	1740	Anne Donnellan	#AD	Anne Donnellan	female	friends	710
