docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1762_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1762	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1661
BC_1747_EMONTAGU_MB_1	Letter from Elizabeth Montagu to Margaret Cavendish Harley	1747	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	1112
BC_17xx_EMONTAGU_EV_8	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	139
BC_1766_EMONTAGU_EV_6	Letter from Elizabeth Montagu to Elizabeth Vesey	1766	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1095
BC_1741_EMONTAGU_SS	Letter from Elizabeth Robinson to Sarah Robinson	1741	1740	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	298
BC_1771_EMONTAGU_MA_1	Letter from Elizabeth Montagu to Mary Robinson	1771	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	803
BC_1742_EMONTAGU_MB_2	Letter from Elizabeth Montagu to the Duchess of Portland	1742	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	807
BC_1768_EMONTAGU_ED_3	Letter from Elizabeth Montagu to Edward Montagu	1768	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	477
BC_1760_EMONTAGU_ED	Letter from Elizabeth Montagu to Edward Montagu	1760	1750	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	582
BC_1760_EMONTAGU_WP_4	Letter from Elizabeth Montagu to Lord Bath	1760	1750	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	205
BC_1761_EMONTAGU_WP_2	Letter from Elizabeth Montagu to William Pulteney, Earl of Bath	1761	1760	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	450
BC_1768_EMONTAGU_ED_1	Letter from Elizabeth Montagu to Edward Montagu	1768	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	592
BC_1738_EMONTAGU_MB_1	Letter from Elizabeth Robinson to the Duchess of Portland	1738	1730	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	758
BC_1758_EMONTAGU_BS_1	Letter from Elizabeth Montagu to Benjamin Stillingfleet	1758	1750	Benjamin Stillingfleet, Esq.	#BS	Benjamin Stillingfleet	male	friends	1061
BC_1771_EMONTAGU_EV	Letter from Elizabeth Montagu to Elizabeth Vesey	1771	1770	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	344
BC_1766_EMONTAGU_EV_4	Letter from Elizabeth Montagu to Elizabeth Vesey	1766	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	932
BC_1747_EMONTAGU_MB_3	Letter from Elizabeth Montagu to Margaret Cavedish Harley	1747	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	1222
BC_1760_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1760	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	304
BC_1762_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey	1762	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	735
BC_1756_EMONTAGU_CL	Letter from Elizabeth Montagu to Charles Lyttelton	1756	1750	Charles Lyttelton, Bishop of Carlisle	#CL	Charles Lyttelton	male	acquaintances	1011
BC_1760_EMONTAGU_SS_3	Letter from Elizabeth Montagu to Sarah Scott	1760	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	857
BC_1747_EMONTAGU_MB_2	Letter from Elizabeth Montagu to Margaret Cavendish Harley	1747	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	1155
BC_1766_EMONTAGU_EV_5	Letter from Elizabeth Montagu to Elizabeth Vesey	1766	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1497
BC_1771_EMONTAGU_MA_2	Letter from Elizabeth Montagu to Mary Robinson	1771	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	1041
BC_1742_EMONTAGU_MB_1	Letter from Elizabeth Montagu to the Duchess of Portland	1742	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	409
BC_1760_EMONTAGU_WP_5	Letter from Elizabeth Montagu to Lord Bath	1760	1750	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	484
BC_1761_EMONTAGU_WP_3	Letter from Elizabeth Montagu to William Pulteney, Earl of Bath	1761	1760	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	269
BC_1778_EMONTAGU_MA_3	Letter from Elizabeth Montagu to Mary Robinson	1778	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	762
BC_1768_EMONTAGU_SS_4	Letter from Elizabeth Montagu to Sarah Scott	1768	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	705
BC_1769_EMONTAGU_MR_2	Letter from Elizabeth Montagu to Matthew Robinson	1769	1760	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	1240
BC_1757_EMONTAGU_ED	Letter from Elizabeth Montagu to Edward Montagu	1757	1750	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	291
BC_1740_EMONTAGU_SS_4	Letter from Elizabeth Robinson to Sarah Robinson	1740	1730	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	155
BC_1740_EMONTAGU_MR_4	Letter from Elizabeth Robinson to Matthew Robinson	1740	1730	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	550
BC_17xx_EMONTAGU_EV_6	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	172
BC_1775_EMONTAGU_MO	Letter from Elizabeth Montagu to Morris Robinson	1775	1770	Morris Robinson	#MO	Morris Robinson	male	nuclear family	1375
BC_1767_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1767	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	229
BC_1758_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1758	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	380
BC_1762_EMONTAGU_EC	Letter from Elizabeth Montagu to Elizabeth Carter	1762	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	1848
BC_17xx_EMONTAGU_EV_7	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	106
BC_1759_EMONTAGU_GL_2	Letter from Elizabeth Montagu to Lord Lyttelton	1759	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	944
BC_1740_EMONTAGU_SS_5	Letter from Elizabeth Robinson to Sarah Robinson	1740	1730	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	191
BC_176x_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	90
BC_1768_EMONTAGU_SS_5	Letter from Elizabeth Montagu to Sarah Scott	1768	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	1557
BC_1783_EMONTAGU_EC	Letter from Elizabeth Montagu to Elizabeth Carter	1783	1780	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	827
BC_1778_EMONTAGU_MA_2	Letter from Elizabeth Montagu to Mary Robinson	1778	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	681
BC_1740_EMONTAGU_WF	Letter from Elizabeth Robinson to William Freind			William Freind, Dean of Canterbury	#WF	William Freind	male	distant family	901
BC_1769_EMONTAGU_GL_4	Letter from Elizabeth Montagu to Lord Lyttelton	1769	1760	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	1077
BC_1769_EMONTAGU_MR_1	Letter from Elizabeth Montagu to Matthew Robinson	1769	1760	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	907
BC_17xx_EMONTAGU_EV_5	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	63
BC_1758_EMONTAGU_SS_3	Letter from Elizabeth Montagu to Sarah Scott	1758	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	476
BC_1766_EMONTAGU_EC_4	Letter from Elizabeth Montagu to Elizabeth Carter	1766	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	735
BC_1767_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1767	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	635
BC_1741_EMONTAGU_ER	Letter from Elizabeth Robinson to Elizabeth Drake Robinson	1741	1740	Elizabeth Robinson née Drake	#ER	Elizabeth Robinson née Drake	female	nuclear family	468
BC_1758_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1758	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	594
BC_17xx_EMONTAGU_EV_4	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	98
BC_1740_EMONTAGU_SS_6	Letter from Elizabeth Robinson to Sarah Robinson	1740	1730	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	478
BC_1759_EMONTAGU_GL_1	Letter from Elizabeth Montagu to Lord Lyttelton	1759	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	638
BC_176x_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	161
BC_1776_EMONTAGU_EV_4	Letter from Elizabeth Montagu to Elizabeth Vesey	1776	1770	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1505
BC_1778_EMONTAGU_MA_1	Letter from Elizabeth Montagu to Mary Robinson	1778	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	731
BC_1770_EMONTAGU_MA	Letter from Elizabeth Montagu to Mary Robinson	1770	1760	Mary Robinson	#MA	Mary Robinson	female	nuclear family	1473
BC_1769_EMONTAGU_GL_1	Letter from Elizabeth Montagu to George Lyttelton	1769	1760	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	599
BC_1768_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1768	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	665
BC_1768_EMONTAGU_MR_2	Letter from Elizabeth Montagu to Matthew Robinson	1768	1760	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	672
BC_1740_EMONTAGU_SS_2	Letter from Elizabeth Robinson to Sarah Robinson	1740	1730	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	410
BC_1740_EMONTAGU_MR_2	Letter from Elizabeth Robinson to Matthew Robinson	1740	1730	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	558
BC_1771_EMONTAGU_RB	Letter from Elizabeth Montagu to Richard Berenger	1771	1770	Richard Berenger	#RB	Richard Berenger	male	acquaintances	229
BC_1766_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1766	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	630
BC_17xx_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	132
BC_1759_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1759	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	1114
BC_1740_EMONTAGU_SS_3	Letter from Elizabeth Robinson to Sarah Robinson	1740	1730	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	271
BC_1740_EMONTAGU_MR_3	Letter from Elizabeth Robinson to Matthew Robinson	1740	1730	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	500
BC_1758_EMONTAGU_GL_2	Letter from Elizabeth Montagu to Lord Lyttelton	1758	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	346
BC_17xx_EMONTAGU_EV_12	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	176
BC_1767_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Scott	1767	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	436
BC_1768_EMONTAGU_SS_3	Letter from Elizabeth Montagu to Sarah Scott	1768	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	588
BC_1776_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey	1776	1770	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	592
BC_1778_EMONTAGU_MA_4	Letter from Elizabeth Montagu to Mary Robinson	1778	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	1593
BC_1769_EMONTAGU_GL_2	Letter from Elizabeth Montagu to Lord Lyttelton	1769	1760	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	702
BC_1776_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1776	1770	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	865
BC_1768_EMONTAGU_MR_1	Letter from Elizabeth Montagu to Matthew Robinson	1768	1760	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	1490
BC_1768_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1768	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	923
BC_17xx_EMONTAGU_EV_10	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	144
BC_1740_EMONTAGU_MR_1	Letter from Elizabeth Robinson to Matthew Robinson	1740	1730	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	678
BC_1740_EMONTAGU_SS_1	Letter from Elizabeth Robinson to Sarah Robinson	1740	1730	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	603
BC_17xx_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	63
BC_1766_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1766	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	323
BC_1766_EMONTAGU_EC_3	Letter from Elizabeth Montagu to Elizabeth Carter	1766	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	715
BC_17xx_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	147
BC_1759_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1759	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	206
BC_1742_EMONTAGU_MR	Letter from Elizabeth Robinson to Matthew Robinson	1742	1740	Matthew Robinson senior, Esq.	#MR	Matthew Robinson senior	male	nuclear family	360
BC_1758_EMONTAGU_GL_1	Letter from Elizabeth Montagu to Lord Lyttelton	1758	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	1022
BC_17xx_EMONTAGU_EV_11	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	209
BC_1790_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Scott	1790	1780	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	714
BC_1776_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1776	1770	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	592
BC_1769_EMONTAGU_GL_3	Letter from Elizabeth Montagu to Lord Lyttelton	1769	1760	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	214
