img,parish_all,parish_rem
LMSLPS150170084,1,1
LMSLPS150170087,1,1
LMSLPS150170090,1,1
LMSLPS150170092,1,1
LMSLPS150170098,1,1
LMSLPS150170100,1,1
LMSLPS150170102,1,1
LMSLPS150170103,1,1
LMSLPS150170105,1,1
LMSLPS150170108,1,1
LMSLPS150170112,1,1
LMSLPS150170113,1,1
LMSLPS150170114,1,1
LMSLPS150180022,0,0
LMSLPS150180063,1,1
LMSLPS150180068,1,1
LMSLPS150180071,1,1
LMSLPS150180073,1,1
LMSLPS150180075,1,1
LMSLPS150180077,1,1
LMSLPS150180079,1,1
LMSLPS150180082,1,1
LMSLPS150180084,1,1
LMSLPS150180086,1,1
LMSLPS150180089,1,1
LMSLPS150180090,1,1
LMSLPS150180093,1,1
LMSLPS150180096,0,0
LMSLPS150180097,0,0
LMSLPS150180098,0,0
LMSLPS150180099,0,0
LMSLPS150180100,0,0
LMSLPS150180101,1,0
LMSLPS150180102,0,0
LMSLPS150190018,0,0
LMSLPS150190021,0,0
LMSLPS150190022,0,0
LMSLPS150190024,0,0
LMSLPS150190032,1,0
LMSLPS150190055,0,0
LMSLPS150190056,0,0
LMSLPS150190057,0,0
LMSLPS150190058,0,0
LMSLPS150190060,1,1
LMSLPS150190065,1,1
LMSLPS150190066,1,1
LMSLPS150190068,1,1
LMSLPS150190069,1,1
LMSLPS150190071,1,1
LMSLPS150190073,1,1
LMSLPS150190075,1,1
LMSLPS150190077,1,1
LMSLPS150190079,1,1
LMSLPS150190081,1,1
LMSLPS150190083,1,1
LMSLPS150190085,1,1
LMSLPS150190087,1,1
LMSLPS150200013,0,0
LMSLPS150200042,0,0
LMSLPS150200043,1,0
LMSLPS150200044,0,0
LMSLPS150200045,0,0
LMSLPS150200047,1,0
LMSLPS150200049,1,1
LMSLPS150200051,1,1
LMSLPS150200052,1,1
LMSLPS150200054,1,1
LMSLPS150200056,1,1
LMSLPS150200058,1,1
LMSLPS150200060,1,1
LMSLPS150200062,1,1
LMSLPS150200063,1,1
LMSLPS150200065,1,1
LMSLPS150200068,1,1
LMSLPS150200070,1,1
LMSLPS150200072,1,1
LMSLPS150200074,1,1
LMSLPS150200076,1,1
LMSLPS150200077,1,1
LMSLPS150200081,1,1
LMSLPS150210033,0,0
LMSLPS150210058,0,0
LMSLPS150210059,1,0
LMSLPS150210060,1,0
LMSLPS150210061,1,1
LMSLPS150210062,0,0
LMSLPS150210063,0,0
LMSLPS150210066,1,1
LMSLPS150210067,1,1
LMSLPS150210069,1,1
LMSLPS150210071,1,1
LMSLPS150210072,1,1
LMSLPS150210074,1,1
LMSLPS150210077,1,1
LMSLPS150210078,1,1
LMSLPS150210081,1,1
LMSLPS150210084,1,1
LMSLPS150210085,1,1
LMSLPS150210088,1,1
LMSLPS150210090,1,1
LMSLPS150210093,1,1
LMSLPS150210094,1,1
LMSLPS150210096,1,1
LMSLPS150210099,1,1
LMSLPS150210101,1,1
LMSLPS150210103,1,1
LMSLPS150210104,1,1
LMSLPS150210107,1,1
LMSLPS150210109,1,1
LMSLPS150210110,1,1
LMSLPS150210112,1,1
LMSLPS150210115,1,1
LMSLPS150210116,1,1
LMSLPS150210119,1,1
LMSLPS150210120,1,1
LMSLPS150210122,1,1
LMSLPS150210124,1,1
LMSLPS150210126,1,1
LMSLPS150210128,1,1
LMSLPS150220038,1,0
LMSLPS150220068,1,0
LMSLPS150220070,1,1
LMSLPS150220071,0,0
LMSLPS150220073,0,0
LMSLPS150220075,1,1
LMSLPS150220077,1,1
LMSLPS150220078,1,1
LMSLPS150220080,1,1
LMSLPS150220082,1,1
LMSLPS150220084,1,1
LMSLPS150220086,0,0
LMSLPS150220089,1,1
LMSLPS150220091,1,1
LMSLPS150220095,1,1
LMSLPS150220097,1,1
LMSLPS150220100,1,1
LMSLPS150220103,1,1
LMSLPS150220105,1,1
LMSLPS150220108,1,1
LMSLPS150220109,1,1
LMSLPS150220111,1,1
LMSLPS150220113,1,1
LMSLPS150220115,1,1
LMSLPS150220117,1,1
LMSLPS150220120,1,1
LMSLPS150220121,1,1
LMSLPS150220123,1,1
LMSLPS150220126,1,1
LMSLPS150220128,1,1
LMSLPS150220130,1,1
LMSLPS150230054,0,0
LMSLPS150230055,0,0
LMSLPS150230056,0,0
LMSLPS150230057,1,1
LMSLPS150230058,1,0
LMSLPS150230059,0,0
LMSLPS150230061,1,1
LMSLPS150230063,1,1
LMSLPS150230066,1,1
LMSLPS150230069,1,1
LMSLPS150230071,1,1
LMSLPS150230073,1,1
LMSLPS150230075,1,1
LMSLPS150230077,1,1
LMSLPS150230079,1,1
